time,frequency,confidence
3.864,554.876,0.935877
3.868,554.782,0.923986
3.872,554.541,0.897705
3.876,554.404,0.860252
3.880,553.188,0.800210
3.884,553.544,0.675408
3.888,553.901,0.587430
3.892,556.466,0.470406
3.896,575.277,0.459906
3.900,584.452,0.673580
3.904,585.920,0.711213
3.908,589.049,0.846753
3.912,590.868,0.887596
3.916,592.546,0.872856
3.920,594.271,0.897545
3.924,595.835,0.913671
3.928,596.773,0.921188
3.932,597.288,0.918628
3.936,597.325,0.916030
3.940,597.630,0.910414
3.944,597.560,0.904877
3.948,597.222,0.911797
3.952,596.976,0.917841
3.956,596.104,0.922873
3.960,596.014,0.918756
3.964,595.005,0.906306
3.968,593.965,0.892862
3.972,592.279,0.894214
3.976,591.688,0.886001
3.980,591.628,0.871472
3.984,592.176,0.801480
3.988,593.255,0.634283
3.992,540.507,0.351402
3.996,499.032,0.449810
4.000,498.064,0.750450
4.004,497.233,0.881325
4.008,497.033,0.925220
4.012,496.877,0.943276
4.016,496.515,0.957597
4.020,496.346,0.958260
4.024,496.391,0.961198
4.028,496.471,0.964288
4.032,496.686,0.962839
4.036,496.447,0.963023
4.040,496.150,0.964319
4.044,495.915,0.962208
4.048,495.514,0.963579
4.052,495.105,0.962602
4.056,494.679,0.958394
4.060,494.065,0.949726
4.064,493.818,0.936572
4.068,493.727,0.920641
4.072,493.748,0.910061
4.076,493.806,0.890562
4.080,493.601,0.845449
4.084,493.389,0.803900
4.088,492.162,0.812244
4.092,491.413,0.802245
4.096,489.480,0.683914
4.100,438.221,0.426399
4.104,439.337,0.597079
4.108,439.532,0.762544
4.112,439.677,0.829264
4.116,439.896,0.890207
4.120,440.203,0.903066
4.124,440.466,0.915319
4.128,440.550,0.917065
4.132,440.589,0.923044
4.136,440.380,0.920967
4.140,440.387,0.924797
4.144,440.428,0.923499
4.148,440.370,0.920739
4.152,440.401,0.911358
4.156,440.273,0.909568
4.160,440.363,0.890517
4.164,440.504,0.876113
4.168,440.560,0.833559
4.172,440.765,0.754257
4.176,440.627,0.643958
4.180,392.831,0.271638
4.184,394.179,0.621442
4.188,393.791,0.744297
4.192,393.863,0.802836
4.196,392.669,0.834744
4.200,392.411,0.863380
4.204,392.141,0.898535
4.208,392.588,0.926999
4.212,392.908,0.944571
4.216,393.171,0.950844
4.220,393.538,0.959766
4.224,393.707,0.960755
4.228,393.787,0.958880
4.232,393.822,0.959240
4.236,394.009,0.955215
4.240,394.196,0.954576
4.244,394.285,0.954393
4.248,393.990,0.956920
4.252,393.733,0.953122
4.256,393.272,0.952195
4.260,392.748,0.950279
4.264,392.119,0.945095
4.268,391.558,0.935457
4.272,390.858,0.918075
4.276,389.986,0.931808
4.280,389.524,0.925029
4.284,389.043,0.903401
